months,day_of_week,period,Tp,Cl,pH,Redox,Leit,Trueb,Cl_2,Fm,Fm_2
August,Monday,Morning,6.9542360608254885,0.16260680666183924,8.3509732606517,751.2600354722664,211.66545981173064,0.021156566609703113,0.10875307748008689,1591.1542360608255,901.9572773352643
August,Monday,Noon,7.015555555555555,0.16574074074074074,8.350074074074074,751.5259259259259,211.36851851851853,0.01899814814814815,0.10974814814814815,1705.4074074074074,856.8759259259259
August,Monday,Afternoon,7.038703703703704,0.16875925925925928,8.342818586074074,751.8834342474074,210.49814814814815,0.018883535637037038,0.11449999999999999,1697.174074074074,860.6648148148148
August,Monday,Night,7.0693304535637145,0.16501943844492442,8.334939382600432,752.220544972095,210.76544276457884,0.020238786140820735,0.10978099352051836,1638.732181425486,922.5671706263499
August,Tuesday,Morning,7.042287075640262,0.16595592614651578,8.347868991351994,751.51402888243,210.51876116736153,0.022726092462179867,0.10940678975580702,1676.851101846337,814.0291840381179
August,Tuesday,Noon,7.24875,0.16516666666666666,8.351558384,750.2500756855557,208.88055555555556,0.02043765172777778,0.10755833333333333,1741.25,692.4722222222222
August,Tuesday,Afternoon,7.2747222222222225,0.1612638888888889,8.350819444444445,750.9944444444444,212.02916666666667,0.02058888888888889,0.10788055555555556,1759.5402777777779,855.9694444444444
August,Tuesday,Night,7.164545454545455,0.16554545454545455,8.353001780727272,751.8430960940909,210.94810606060605,0.02520519480530303,0.1097344696969697,1601.7954545454545,957.9689393939394
August,Wednesday,Morning,7.095801301005323,0.16499112950916617,8.34033116499113,752.5884092253104,210.52276759314014,0.0256836191602602,0.11019278533412183,1755.9893554109995,902.652276759314
August,Wednesday,Noon,7.155111111111111,0.16523333333333334,8.357833333333334,751.1966666666667,209.06333333333333,0.020213333333333333,0.11053,1744.77,789.77
August,Wednesday,Afternoon,7.105333333333333,0.16346666666666668,8.324388888888889,751.0733333333334,209.9777777777778,0.020745555555555555,0.10941222222222223,1741.6233333333332,787.5866666666667
August,Wednesday,Night,7.102966666666667,0.16550718761333333,8.349273333333333,752.200538701,209.99833333333333,0.023979999999999998,0.11115578812333334,1645.6466666666668,1030.2826666666667
August,Thursday,Morning,6.850416666666667,0.16646428571428573,8.344690476190475,752.0059523809524,209.8279761904762,0.020166071428571426,0.11056190476190476,1712.6488095238096,940.8071428571428
August,Thursday,Noon,7.04125,0.16509722222222223,8.339402777777778,751.9958333333333,208.6652777777778,0.018199999999999997,0.11012222222222222,1728.5277777777778,1008.5708333333333
August,Thursday,Afternoon,7.010416666666667,0.1669027777777778,8.33576388888889,752.2875,210.42638888888888,0.01901111111111111,0.11274305555555555,1712.0416666666667,987.5791666666667
August,Thursday,Night,6.925909090909092,0.16393939393939394,8.349541666666667,751.7064393939394,210.52954545454546,0.0217125,0.10905530303030303,1660.457196969697,980.7155303030303
August,Friday,Morning,6.912797619047619,0.1641845238095238,8.338065476190476,752.3184523809524,211.14345238095237,0.022254761904761902,0.11001785714285715,1698.6077380952381,983.2113095238095
August,Friday,Noon,7.075972222222222,0.16337500000000002,8.35501388888889,752.4166666666666,209.0375,0.01935138888888889,0.11077361111111111,1664.911111111111,962.85
August,Friday,Afternoon,7.080555555555556,0.15993055555555558,8.335847222222222,751.7513888888889,210.02777777777777,0.019765277777777777,0.1082111111111111,1650.8416666666667,1001.4597222222222
August,Friday,Night,6.9573484848484854,0.1664469696969697,8.34065909090909,752.2636363636364,209.90189393939394,0.022190151515151517,0.11030681818181817,1598.8450757575758,1014.1969696969697
August,Saturday,Morning,6.986666666666667,0.1660357142857143,8.347660714285714,751.8625,211.45059523809525,0.02180297619047619,0.10954821428571429,1507.5279761904762,948.027380952381
August,Saturday,Noon,7.19361111111111,0.16680555555555557,8.362194444444444,752.3208333333333,209.55416666666667,0.020851388888888888,0.11241666666666666,1586.2555555555555,967.35
August,Saturday,Afternoon,7.145138888888889,0.16554166666666667,8.338125,752.1694444444445,209.45416666666668,0.02068888888888889,0.11049305555555554,1620.8597222222222,1008.1888888888889
August,Saturday,Night,7.018030303030303,0.16570075757575758,8.336215909090908,752.530303030303,210.12575757575758,0.022188636363636365,0.11084924242424242,1561.021590909091,998.1734848484848
